Title	Description	Category
Looking for a professional ghostwriter	"Hi,

I'm looking for a professional ghostwriter. You need to have a great idea about the following subjects:
1. Cryptocurrency 
2. Trading 
3. Technical Analysis 
4. Business 
5. Enterpuership 

This project is for 3 blog posts (with 750 words for each).

** Must Be NATIVE ENGLISH speaker
"	2
Edit and proof read document	Look for someone who is good at writing compelling marketing content. I have a drafted out 6 points on one-page flyer but need someone to do their magic and make it sounds compelling for people to use us when buying or selling a home. We will you to do a monthly blog on the real estate in Orlando, Florida.	1
Write article about cryptocurrency exchange	Write article about specified cryptocurrency exchange, with specified keywords,  7500 words at least	4
I need article reworded and rephrased	I have an article i need reword and rephrased. Around 1,400 words. This is a small funded project	2
Rewrite the paragraphs in computer fild	"I have a file in computer information system field and i nead to rewrite it  by another words and with the same meaning 
To do this task u must be an a computer information system field.... firstly u must rewrite one paragraph to see the quality of ur work"	4
Help me write something	"This a four paper to write about battery adadvancement. It should Include an abstract, background details, applications and a conclusion to your paper.
Paper should include 2-3 sources, and should thoroughly explain the topic and why it is important."	5
Paper Extract for telecom engineer.	I would like to have 4 page paper extract of attached paper.	5
I need a professional CV writer fix price for 92.58$	I need a professional CV like attached PDF 	1
Impact Assessment 	Impact Assessment proj in local environment.	4
Article Writers Needed: Business services, logistics, engineering topics	"We're looking for 6 writers to write regular 500 word blog posts on a variety of topics. Lots of work available (50+ articles per month)

Categories are: Business processes, marketing, logistics, manufacturing, engineering

These are blog posts for marketing purposes. The writing doesn't need to be particularly technical, but you must have the ability to conduct thorough research and write convincingly for the target audience. Looking for a concise writing style (no fluff/filler) and good communication. These are for UK companies, so you will need to use British spelling, grammar and research sources.

Budget is £15 per 500 word article

Please base your bid on your monthly availability in number of articles.

e.g. 10x articles p/m: £150
4x articles p/m: £60
20x articles p/m: £300

Thanks! I look forward to hearing from you

PROJECT GUIDELINES - PLEASE READ CAREFULLY
- NATIVE LEVEL FLUENT WRITTEN ENGLISH
- ORIGINAL WRITING ONLY: No plagiarism, copying or content spinning
- INDEPENDENT WRITERS ONLY: No agencies. No subcontracting
- NO NEGOTIATING ON FEES: The budget is set. Please don't bid if you can't work with it
- NO FAKE PROFILES: Please be open and transparent about your identity, skills, work history etc

We've had several negative experiences on this site. The project will be immediately cancelled and payment forfeit if you breach these guidelines. Thanks for your understanding.

"	1
managing IS strategy and security risk	I need you to write about managing IS strategy and security risk	5
English writer and re-writer	"Need a website content to create text content for tourism related subject matter and also:
a specific service website content writer and creator: from scratch.
You will create content 1. for 7 pages. 2. For 10. pages. Start from SERVICE website first."	1
Rewrite 350 Words	I have 350 words I need to pass copyscape. I have rewritten 3/4 of it but some of the phrases catch. Need perfect quality and fast turnaround.	5
Essay 500 words -- 3	I need you to write an essay/ 500 words.	5
need articles about user testing / ux design	"Please bid for 3 articles, each articles need to be illustrate with images free of right,  all article must be originals and we will own the rights.
Each articles must be between 400 and 600 words.
If you feel that an article can have more words than 600, let em know and i'll give you extra budget.
If you have subjects of articles, you can suggest them to me and i'll hire you to write them, so you can do more. But i already have my own list of subject."	1
Healthcare info	2000 words 	5
re-Write 3 x articles	"HI guys - I need to have 3 articles that are posted online 
read, and re-written
so that we have good quality content as a result - 
but not plageurised. 

Reading, re-writing in a different tone and voice etc. 

these are the articles 

Are Influencers Worth Your Money? We Went Undercover to Find Out.
[login to view URL]


Tim Ferriss, Gary Vaynerchuk and More Share What Will Make Businesses Successful in 2018
[login to view URL]

The Importance of Making Sure Customers Feel Heard
[login to view URL]

Could you please include examples of other research or writing you have done. 
thanks
Walt PLEASE MAKE SURE YOUR BID IS FINAL"	1
Project writing	I have to write a project. I have all the source from where it needs to be written (so a major headache is taken care of). Also, I have a sample ready how it needs to be written. You can either follow the sample or add something extra from the sources (that will be great). If you are interested in this let me know and we can discuss about this further.	4
create a 300 words blog	i want someone to write a 300 words blog with apa style reference	5
intrinsic value of bitcoin.	"is it possible to use traditional theories to find the intrinsic/fundamental value of Bitcoin? if not, why not? what are the other valuation tools if any?

 - use hots not lots (in ppt)
 - pls show me the ideas first"	5
Business report 	Research business report writing 	5
A Great Reference Letter	"HI everyone,

I would like to write a great reference letter for my staff, I need it in one day. Thanks 
Points :
- My Staff is a lady
- She never late
- Hard Working
- Willing to learn even she never did before
- This is her first job after graduation
- Nice and very Good EQ
- Good communication with customers
- Her main job duties is my asistant and help customer to solve problem on flower ordering
- We are a flower shop

Thank you all

"	1
help to correct the style for our company overview	"i need somebody that can help me to correct a text in a perfect english with a marketing style for our linkedin profile.

At Blockbliss, we believed that by the use of Blockchain technologies we can generate solutions that  transforms the organizations and individuals creating a world more open and agile.

we are a full-stack development team passionate about innovation and the success of our customers and partners.

Our process and methodologies are designed to increase the quality and speed of our solutions and the satisfaction of our customers.

Blockbliss bring your ideas to life.
"	1
Proofread, Copyedit, Content Edit my book	I would like to (self) publish my second poetry book and I need an experienced editor to help me out with editing, proofreading, copywriting, content writing my book. English is not my native language, however, the book is in English. The main themes of the book are cosmic objects, love, deep inner experiences.	1
Editing/proofreading of 1,540 words article + extension to 3,000 words	"Hi all,

We are looking for an english native proofreader/editor to improve an existing blog post related to Pets (see attached) and extend it from 1,540 words to 3,000+ words. To be clear here is what we are looking for:

- Fix syntax, punctuation and grammatical errors from existing content
- Write an additional 1,500 words of content, keeping a relevant tone and the existing topic of the article
- The article should pass CopyScape and other plagiarism tools
- No rushed delivery, up to 7 days is acceptable
- Best quality at a competitive price

This is a test project, we have 100+ articles to proofread and extend like this, so please bid competitively :)

Thanks!

Cedric"	1
I need content writer for china dinnerware brand blog	We're online seller of fine china dinnerware. We just have our official website built up where we have a brand blog. We're looking for experienced writer to write some interesting and valuable content for our blog which we can share to our official social media channels.	1
Blockchain Articles	"I need you to write 3 articles on Blockchain topics-

 ""If Block Chain and AI had a baby, what would it look like?"" 

I think this address 2 interesting challenges; 1. Businesses don't really know WHY they should get started on block chain when they already have such complex environments, and 2. Business don't know HOW to get started in AI (perhaps other than calling IBM and asking for Watson). So, what does the combination mean and does it offer a compelling reason for both? 

What is the value of a Private Blockchain within one organization? 

What are alme new and innovative ways of using Blockchain? 


2 pages for each question  "	3
Business Research and Comparative writing	"I need some help with my business. Seeking a highly skilled individual to assist with knowledge sharing and report writting of the cooperative - Mondragon from an ethics perspective (Normative theory). 

Evidence of experience is required. English as a first language need only apply. 
Approximately 2 hours work."	1
Proofreading- English USA	I need a professional who can do proofreading, US English, i prefer Amaerica. 	2
Resume Creator	I'm looking for someone to take my resume and turn it into a job magnet. I've included my old one here, if you think you can make it better please tell me why this one is wrong and how you can make it better.	1
I need a grant writer	I am the CEO of a nonprofit pregnancy center and need a grant written. needs to be submitted by 4/25/18.	1
Resume Writing	Need a resume writer who can review my resume and write in again to make it more effective in the Australian market. I think it needs a complete overhaul :-)	1
financial institutional	"artical
should cover the origination/history of the organization, its purpose/major lines of business, its exposure and role in the financial crisis of 2008, any changes that came as a result of the crisis and recent developments or disposition."	5
US native Proofreader wanter 238 words	"Hello need to check to grammar, spelling errors small page
adult niche
Payment 12$
thank you"	1
Business Ethics	I need a report about a known ethical issue and how did the company deal with it, who did it effect, and what do I think about it and how should they solve it. I need it to be from 1500 word to 2000 max, not more than 10 days until due date.	5
Help me write something -- 10	I need you to write a research article. Role of digital media in shaping Obama care . ( 2000 words )	5
write a professional business proposal - 29/04/2018 15:21 EDT	"a draft will be provided , you're expected to edit , add more content and organize the proposal. 
I need 2 versions of the same proposal (details will be shared privately)  

DON'T bid if you're going to do the bare minimum . i expect a professional proposal"	2
Blog Articles about CPM scheduling and claims analysis for construction.	I need you to write some articles about CPM scheduling and claims analysis for construction. No automatic generated contents. I need someone who have some knowlege in construction project management or project management in general. For example, have PMP or PMI-SP.	5
write article	blog articles in English. I will provide guidance, topics and highlights	2
Write a professional resume for a esl English Teacher	I need someone to help design and write me a very professional looking and sounding resume.	1
Resume editing to deliver a stand-out, professional CV	I am a professional marketer and need my CV bringing to life to showcase my experience, creativity and business development skills. It is too wordy and repetitive at present and needs editing.	1
Blog post for a retire overseas website	"Hi, 

I want someone to write blog post for our website to help generate traffic. The website is [login to view URL] and we run tours for people to retire in Asia.

There will be around 1 blog post per week between 300-600 words about a cost of living or retiring in asia project.

Cheers
Kishen"	1
editor copy writer	I have drafted an article that requires editing and perhaps some copy writing to make it better. Probably about half hour if that with your natural skills.	1
proofreading	I write articles that I would like to publish and need to make sure there are no typos and the grammar is correct.	1
Create a formal letter to state	I need to create a short letter to a past client to convince them to use by services again. This letter is being sent to the state attorney general, so it has to read correct and be accurate. I need help with proper language and presentation.	1
Write an SEO content article for our website - Must Visit Mayan Ruins near Cancun	"We are [login to view URL]

We are an up and coming vacation rental company focusing on Hawaii, Mexico, and the Caribbean. We are looking for writers with experience writing content for the travel & vacation industry. Through this (and other) mini-projects we would like to find writers to continue working with on a more permanent basis. So, if the content submitted to us is engaging, original, and well written, we may be interested in hiring you for larger content projects in the future.

For this mini-project we require an article written about Must Visit Mayan Ruins near Cancun. 

The article should be 1000+ words long.  And the article should be written in ""US English"".

The target audience for this article is:
30-65 year olds
Married
Annual income bracket $50,000+ USD 
In other words; avoid topics like ""hostels"", ""spring break"", ""backpacking vacations"", et cetera (things that would not interest these demographics).

Content should include information about:
- a good example of what we are looking for can be found here: [login to view URL]
- The top ruins to visit while in Cancun.  This can be a ""top 5"" or ""top 10"" list type article.
- Be descriptive!  Describe WHY each ruin is a must see; what they have to offer that other do not, why would someone go out of their way to tour these ruins, ect.
Please be SPECIFIC in your content; give lots of details and use lots of description.  Citing outside sources for the information would not hurt either (you do not need to create the links, we can do that if you are unsure how).  

Here is a list of the top 10 articles, as ranked on google, for the keyword phrase ""Cancun Mayan Ruins"", to assist your research:
1. [login to view URL]
2. [login to view URL]
3. [login to view URL]
4. [login to view URL]
5. [login to view URL]
6. [login to view URL]
7. [login to view URL]
8. [login to view URL]
9. [login to view URL]
10. [login to view URL]

Keywords to be included in the body of the text: Mayan ruins, Quintana Roo, Yucatan, Cancun, Playa Del Carmen, vacation rentals

More SEO keyword phrases to consider (not required, but having a few of these phrases would be nice!):  
ek balam, mayan ruins in mexico, archaeological site, main pyramid, ruins of tulum, chichen itza, day trip, hours from cancun, mayan cities, unesco world heritage site, ancient mayan city, nohoch mul, full day, el rey, el castillo, cancun hotel zone, xel ha, temple of the warriors, caribbean sea, guided tour

Please do not forget to add a ""conclusion"" on your content (a paragraph at the end of the content summing up what was discussed in the main body content)."	1
Resume Writing	Hello. I have a current resume (written well). But I need to update to fit a different line of work. Can you assist? I can send the the job posting that I am trying to get. My resume (currently) is written for a manager of technology. What I need is for business development.	1
Photography website content	"Hi everyone,
I'm looking for a professional writer to create about me and landing pages for my photography website.

- Must be native English writer.
- Excellent wording skills.
- Knowledge of photography.

Please take a look at the rules of that type of writing before you bid:
[login to view URL]
[login to view URL]

Thank you all."	1
Help me write something	Help write a rebuttal letter to imigration services department to explain the inconsistency during the interview due to language barrier and memory retention limit! I have  drafted a letter with the explanation but i need a professional writer to make this letter look formal and professional.	1
Proofreading & Improving game dialog and additional text	"Hello,
we are looking for a native english speaker who has experience in proofreading and improving game dialogs and additional game related text. Only for experienced proofreaders with video game experience.

The attached file show the whole amount of text."	1
Write Some Articles for Me	"I need some articles written for my [login to view URL] should be professional and encouraging with some author\'s opinion so readers will respond and leave comments. The articles should be about interesting ideas and be original content.

Please message me if you have any questions,"	1
Write Articles for perfume eCommerce Blog	I need someone who can publish between 4 articles monthly on a blog about perfumes, the articles should be rich of SEO, and need to be attractive articles and not clone..	1
Copywriting for website	"Hi,
I am looking for someone who could writ perfect English texts for my website. Can you help me? I guess it neet between 3000 - 4000 words."	1
I need a content writer	I have a small online bussines (shop) that promote handmade and organic clothes and accessories. Our suppliers are people who work as a designers and small manufacturers from all over the world. We dont promote products from China or big manufactures, but only from people who love to create quality products. 	1
Content Writing	"1000 words 
CSR 
Quality work 
ASAP"	5
A bio/About/Company Description written for a creative Agency	"I am wanting a BIO/About/Company Description written up for me to use for my website. 

It should not be longer than a paragraph or two. It will need to be well written, creative and fun.

The Company is called: Bloom Creative Agency. (I would love to play around with the word bloom here and there in the About/Description of the company)

Company Tag Line: The heart of Media.

This is a brief explanation of the company , but I would like more meat on this/ it needs to be fuller. 

Bloom offers a combination of strategy, design, advertising and production services to its clients.
It is lead by creative professionals and is defined by three main factors: its services, employees and values.
​Bloom aims to create, maintain and evolve brands.

Thank you, 
A"	1
Rewrite 500 words in 1 hour	This is a simple rewrite project. I have 500 words that needs to be rewritten in 1 hour. this pays 750 INR.  so, Apply only if you can rewrite in 1 hour for 750 INR.	3
Ongoing web blog and web content writing	Looking for a native English writer who is familiar with massage therapy, traditional Chinese medicine, acupuncture etc. Write the blog and content for my website, make e-newsletter once every three months. 2 to 3 articles per month. Should be SEO friendly.	1
I would like to hire an Article Writer - Baby Photography	"I'm the owner of a small family business that does e-commerce.  I'm looking to create an ~20 page  ebook which I'm estimating at about 7500-7800 words in length.  
The Subject matter should be tips and tricks and how to successfully photograph newborns and babies.  
The audience for this book will be both professional photographers, some who photography babies already and many who don't typically, as well as parents of newborns, who would like to capture some great pictures of their new baby.
This ebook will be used as an incentive for people to sign up for my mailing list for baby photography products.

A few areas I think need to be covered include:
possible camera settings (perhaps this suggests one setting for the rookie photographer, and another for the pro.  (i.e. the rookie setting could be auto - portrait where the camera does the best settings for the situation.  The Pro could be, shutter speed of X.   Also cover indirect Lighting, avoiding build in flash from camera if possible.  Timing (When is the best time to photograph a baby - i.e. after a feeding is usually ideal as the baby will be sleepy), photographing when sleeping, and when awake.  Getting babies to smile.  (tricks, one I know of is if the baby has a pacifier, quickly remove it and put it by you and the baby will suddenly typically focus on what happened and where the pacifier went.  Take the photo, then return the pacifier.  You can usually do this 5-6 times for some really good shots.  Scott Kelby books are really good from a style and detail standpoint. (They may also have some great info)  Obviously I'm looking for an original work.
Looking for this to be completed in the next 2-3 weeks if at all possible. Thanks for your consideration."	1
I need a short pitch/press release about my app	I need to write a pitch/press release about my app. covering who we are, why we did it, the problem it solves, the different aspects of the app, the goals we have in mind, where we look to go with it from here.	1
Require a blog writer	I require a blog writer to write blog for wedding dress website, 1-2 article per month, topic will be provided but the person needs to be good at SEO, keyword search.	1
Write a script for a one-minute explainer video for a technology company	"Hi, we are a video agency producing animated videos for companies looking to explain their product or services. 

In this case we need a script for a traditional explanation video, with a length of about one-minute (± 100 - 130 words) that explains a technological service.

Please let me know your price and if possible give some example of previous work. Looking forward to finding someone for continued collaboration."	1
Help me write something	need a personal editor to fix and edit my personal statement.	5
Create content for my internship website	"I'm creating a new company based on recruiting summer/winter short term interns from Korea, China, Japan, and other foreign countries. I need about 8-10 pages of content for the company website. 

Content should be original, and be attractive to potential university partners, intern candidates and companies willing to hire interns. 

Websites for similar services: 
[login to view URL]
[login to view URL]
[login to view URL]
[login to view URL]"	1
Cover letter for job application - with likely more projects offerred to the right person	"I am applying for a property manager postion and would like help with writing the perfect 1 to 2 page cover letter which will be sent in with my resume. The letter must shine so that it takes me to the next level of the recruitment process. If you have experience with writing top notch cover letters, please contact me.
The strictest of confidence is essential, and a description of the job advertisement and resume will be provided to assist with the letter writing.
This is a fixed USD15 project to write a professional job application cover letter only. The right person will get ongoing cover letter writing projects until I gain successful employment!"	1
Resume Edit	I have created this resume & am looking for professional expertise to improve anything that will increase chance of getting selected for interviews etc.	1
Marketing Essay -- 2	I need you to write a research article.	5
create a professional resume	"I need someone how can make a professional resume and CV to get a job here in the US
I graduated from Bussiness administration my Major is "" Accounting""
 I need it to looks good for the recruiters"	1
Website Content Writing  for IT Service Desk	"We are looking for a website content writer in the IT space with experience writing around Service Desk or Technical Support - ITIL Operations exposure or knowledge would be helpful.

5 pages or so"	1
Write 20 articles on health, fitness and wellness	"We are a physiotherapy clinic and Pilates studio, and need 20 blog articles relating to our industry on our website. Topics could include:
- Why physiotherapy is important before and after surgery
- How Physiotherapy and Pilates is a good combination for rehabilitation
- How Pilates can help back pain
- Difference between yoga and Pilates
- Pain management
- General topics around exercise, wellness and nutrition"	1
Write description of our product on website	We are looking for a great writer to write an amazing description of our product using the keywords we provide to optimize SEO.(THIS IS NOT SEO WORK) We are looking for someone who can write the contents.	1
Resume Writing	I am an International Policy Analyst with over 10 years of experience and I have moved to the US for a Job that I am thinking about leaving. I need to redo my CV for two job applications with multilateral institutions on monday. I need help to make it more accomplishments and skill focused. Attached is the CV I already heve.	1
Content Writer for our Restaurant Client	"We are looking for an SEO capable content writer for a local restaurant. Content must be unique and native to the location.

Their old site is a flash site and the content is very thin. We will share the site with our freelancer so they can have some sort of an idea of the place. Just know that the content on the restaurant is very thin. 

We need content for the following (and are open to your suggestions):

Home Page (1000 words minimum)
Steakhouse (500-600 words minimum)
Seafood (500-600 words minimum)
Sports Bar (500-600 words minimum)
About Us (500-600 words minimum)"	1
Write an Article for Website	I need someone to write a short article for my website.	1
Homepage Copywriter	"I am looking for an excellent copywriter to create the copy for my homepage.  We need help converying our service and benefits in a succinct way, this is where you come in!

please take a look at [login to view URL] and feel free to chat so we can give more details.  Must be a native English speaker ideally from the UK (The copy must be in UK English)."	1
Review CV, cover letter and job description for academic position	"Hi, 
I need someone with strong expertise and experience in this area to review my already written cv and cover letter, and just provide feedback and some recommendations for improvement. I consider myself a strong writer, but just want a second set of eyes to review (with this type of specific experience). I would not expect this to take more than 1 hour, as this does not require creating anything from scratch. 

I am looking for someone who has at least several years of experience in resume and cover letter writing. If interested, please send a proposal of the cost as well as any helpful information about your resume writing experience. 

Thanks!"	1
Copy - Paste from site and write content 	"I have uploaded 8 research studies on my wordpress site,can you transfer them to word document and include the content for each study,at the end I need all of them 8 copies in word document and PDF,All of them should be in Harvard style and standard, Note that I don’t have word copy only on site!
"	5
COPY WRITER	I HAVE A MEDICAL WEBSITE. I HAVE A DRAFT OF WHAT I WANT TO SAY BUT WOULD LIKE TO REFINE IT WITH AN EXPERT COPY WRITER. there are approximately 5 pages of A4 text	1
Content writer for leading Australian tech product retailer	"We are seeking a passionate, confident, SEO savvy and professional content writer to produce a series of 5 initial articles / blogs for us (from 500 to 2000 words each). 

All articles will need to be well researched and suitable for an Australian market. They will be checked for plagiarism and all references should be included.

After this initial series, we'd be looking to maintain a long-term relationship with the right writer, and produce one blog / article per week, if topics ideas can be agreed, plus case studies and more.

Our website is at: [login to view URL]

This will give you a good idea of the products / subjects you'd be writing about.

A couple of the first content ideas are:
1. How to future-proof your house when renovating or building. (This is from a networking and cabling perspective)
2. What are the differences between Cat 5e, Cat 6 and Cat 7?

Please provide your rate for on-going work and samples of appropriate work."	1
Article Post	I am here looking for someone who can post something for me.	3
Create a list of Vietnam tourist attractions and their 30-40 words descriptions	"[login to view URL] is travel portal for tourist to self organize their local trips.
Tourists see a list of local tourist attractions wit pictures and descriptions. They select what they would like to visit by car,  when and after a while they got number of offers from drivers and guides.
We need a list of Vietnam attractions to be added to tripamigos. Please see [login to view URL] for examle of Bali attractions and [login to view URL] for Rajasthan attractions.To be more precise we need 150 best Vietnam tourist attractions with unique content."	1
Need an article	Need an article. The topic is for you to choose, however it should be about law and blockchain or about UK Law Commission Starts Major Smart Contract Scoping Study	5
3 Threats faced by the technologies and the respective strategies used to secure them	I need you to write a research article.	5
project proposal	"I need someone who can help me to write land award proposal to government for agriculture purpose.

1. we plan to apply 40acres of agriculture land

2. we plan to plant fast harvest plant like vegetable, fruit (research on fast harvest plant is needed to convince government) 

3. stated some reason of why government should reward the said land to us. (E.g increase working opportunity)

our land requiremtns 
1. 40acres or above
2. near liver stream 
3. flat land"	1
News Release Article Writer	"I manage a small  digital marketing firm and I am loooking for an article writer who can create news release articles to be published on abc, cbs, nbc and fox news affiliate sites via press release.

We would prefer the articles be news worthy topics where our clients are featured/quoted as an expert on the subject.

We need the news release article writer to help come up with ideas and angles for each article.

It would be an added bonus if you are familiar with divvyhq content management platform.

Thank you"	1
Write me a great blog article	"I am launching a new medical reviews website and would like to publish blogs on the website regularly. I am looking for 2-3 blog writers with clear, grammatically-perfect written English skills to deliver 7-8 blog articles every month. The blogs should be written in an easy, conversational tone that readers find interesting and informative. The subjects will vary from medical topics to health and lifestyle. All blog content needs to be original content, written and published exclusively on our blog. 

Please bid/pitch for this project If you are able to deliver 7-8 blog articles per month on a long-term basis. Our budget is $35 per article. 

I would like to start with 1 article to identify the right contributors for this long-term project. First Blog Article topic: 5 Risks Women Face When They Don't Get Regular Health Check-Ups (700-800 words)"	1
Academic writing, article section writing, literature review for scientific research papers	I need a professional writer who can quickly compose a high-quality introduction and literature review section for academic research papers. Topics are in neurobiology and medical imaging. The typical length of a chapter - 400-700 words. Absolutely plagiarism-free (that will be checked electronically), with a full bibliography and naturally in good academic English. Task will require full access to PubMed sources.	5
Help with Research	Help researching and writing a 75 page Research paper. This project is important to me because I plan on starting my own business and need this to be thoroughly completed.	1
i need a copywriter	"Need a copywriter to look at some pages of our website and rewrite in a more strong manner the content of some pages of the website.
i don't know how much it is yet, but some pages are already finished and need just to be rewritten and checked."	1
Report of 2500 words	"Report of 2500 words on any local company from Australia with a strategic analysis 

Hello freelancers,

I need one report asap but not for the higher bidders. Small project small budget.
I need to write a strategic analysis report of 2500 words. This report should demonstrate that has thoroughly researched their topic. The freelancer should use examples of business practice from the scholarly journals papers, conferences, books and professional magazines from an Australian background to support their arguments. The strategic analysis will be on a local company from Australia. The report consists of two parts and should cover the following requirements:  
 PART 1  (External analysis) 

1. Business background 
2. What industry is it?  
3.	General environment analysis (economic, physical, sociocultural, global, technological, political/legal and demographic – and work out what the important facts are). 
4.	The industry environment ((i.e., supplier power, buyer power, potential entrants, substitute products and rivalry among competitors) and explain briefly what is significant for each). 
5.	Competitive environment (Is there a strategic group that you need to take account of? What is the rivalry like in this group? What capabilities do the relevant firms have? What strategies do they follow? What threats do they represent?) 
6.	Opportunities and threats 

PART 2 (Internal analysis and proposal) 
1.	The firm’s resources, tangible and intangible 
2.	Capabilities identification (explain the capabilities carefully to indicate what the firm really does.) 
3.	Core competency analysis (For each capability, indicate which of the four tests for a core competency it meets).  
4.	Propose a suitable information system solution that meets the chosen company needs. 
5.	Evaluate the proposed system and provide your recommendations"	5
security principle case study	"This continuous assessment activity will be based on the following case study:
Verizon 2017, Data Breach Digest: Perspective is Reality, 'An Executive Doxxing Match', pp. 21-22, [login to view URL]
Answer the following questions in relation to the case study:
1.	Describe the attack that occurred according to the ontological components specified in Mouton et al (2016).
2.	Propose and justify potential mitigations for this type of attack, with consideration of people, process and technology factors.
3.	Discuss key elements of a response plan for this type of attack, with consideration of people, process and technology factors.
Mouton, F, Leenen, L and Venter, H S 2016, ‘Social engineering attack examples, templates and scenarios’, Computers & Security, vol. 59, pp.186-209.


HARVARD REFERENCING STYLE.
TOTAL 1000 WORDS (CAN BE +10%)"	5
Digital Art (Projection Mapping) Research	I would need someone who is reliable and have the knowledge in Digital Art (Project Mapping) to write for me a research paper. If you're keen, I would send you the criteria required.  The deadline is in about 10 days.	5
Write a report that describes laptop/desktop	Please see attached file for details	5
Glocalisation	Essay writing on Glocalisation, globalisation.....	5
information systems 	I need you to write some content for case study about information systems and digital firms 	5
Company Report	"Select a business around RMIT campus (The bean Project) and to provide the senior management of that company with a detailed report analysing and recommending appropriate Digital Marketing strategies.

This option is a more traditional piece of business writing. In this task, you are required to select a small or medium-sized business (SME) of your choice, then write a business report, analysing and recommending appropriate Digital Marketing strategies. The intended audience for this report is the senior management of the company that you have selected - assume that the reader has limited knowledge of current Digital Marketing trends. Although not a requirement, you are strongly encouraged to be in direct contact with the business you are writing for."	5
Help me write something	I need you to write a research article. Servant leadership is better than model of leadership	5
Answers to the questions( Essay type)	I need you to write answers to the questions..	5
I need a writer	"Hi, I am a student from Czech Republic and applying for Australian univeristy.  I need to get done the Genuine Temporary Entrant - Intention Letter for my visa application.

I need to answer on those 6 quesitons, on each question by atleast 100 words:

Please explain why did you decide to come to Australia.*

Why did you choose to study in Australia instead of studying in your home country?*

Why did you chose to study this course at this school?

If you have prviously studied in Australia or in your home country, how does this new course relates with your previous studies or professional background?

How will this course help you once you go back to your home country? How will this course benefit your future career goals?*

What are your motivations to go back to your home country after finishing this course? Please mention family, social and financial ties to your home country. Do you have any job offer or business plan? Please explain and if possible please provide documents supporting the statement.*"	5
E Book Project	I have been writing short articles on railways to a few rail journals and now wish to collate these articles and have them published in electronic format hopefully in Amazon.com. I need to have my manuscript formatted to fit in with Amazon's requirements.	1
english project	"read the attached opinion piece from the ""Grade Point"" column published 9/17/17 in the Washington Post. After reading it carefully, compose a response (1,000 words, max) that could be sent to the author, Jeffrey Selingo,"	4
review in internal corporate governance and audit quality	LR in internal corporate governance and audit quality	5
CV reshape	"Looking for a job and need someone to help with my CV rewritten. 
Not sure how to includ the right words and sentences. 
Not been in the market for almost 2 years now (had a baby) must put best chances on the right cv shape."	1
management powerpoint project	management research project. You will select a company and follow that company for the entire semester and give 3 presentation analytical reviews  on business elements of that organization.	5
About me page /Privacy page	"My business is a personal coaching business. I am a Life and Success coach and would like to share my story and influence people to come to me for their coaching needs. 

I would like to help people in transition points, mindset work, and with their careers.  I am also looking for a privacy page.

I need someone to write content for my new page on my website. 
It will be about my story and what got me to be a life coach and what i would like to offer people

Its a personal coaching business that focuses on Life coaching and business success

I know what i want to say but i dont know how to put it in words and make it attract clients"	1
Book report on “Move fast and Break things”	"Looking for a book report written on the about the book 
Move Fast and Break Things: How Facebook, Google, and Amazon Cornered Culture and Undermined Democracy. 
 Must be 1200 words or more.  4 subtopics- 300 words each.
Due Sunday September 23, 2018"	5
Data mining Report Writing	"Must have vast knowledge in Data mining 
Literature Review of Application of data mining in health/medical area .
Proper citation and APA style format."	5
Article about happiness	everything is in the attachment	5
Write a two page paper -- 2	"Search the Internet for IT governance planning. Select a specific governance plan that exists at a company or a plan framework from an organization. Write a 2-page paper on three or four of the most important suggestions from the plan you select.
Your paper should be 2 pages in length. You need to provide a minimum of two references and need to use APA format in the reference section.
12 font size, 1” margins, double-spaced"	5
Film review	"a review for a ( Grave of the Fireflies ) which discuss issues such as national identity, cultural globalization and popular culture 

include 
- introduction: intro the film show, point out the key concept to be discussed in the review, (also point out the significance, maybe box office number ? - or is it a widely overlooked film - justify ur choice )
- integrate the plot summary somewhere here 
- body: arguments: use different example from the film / show for different aspects of the concept (2-4 parts will be fine ) 
- Conclusion: ur own judgement in light of the film/ show in light of the concepts
( no academic style ) (no references needed)  
1500 wds"	5
Rewrite and edit management and leadership short article	I have written a short presentation that requires rewriting and editing in proper business english	1
Write a reflection paper	This project needs to be a reflection of a gender role and identity theory named the Social Learning Theory. This project should be between 550 and 650 words. The format is APA and should have at least one reference.	5
Academic writer for long article	Hello, I’m looking for an academic writer who can translate my thoughts onto paper. Does that make sense? I’ll message you for more information.	3
Small report based on provided content	I need you to draft a small report based on the key points provided in the document that is attached. The overall objective is organise the provided key points, improve the English and produce the same in a report format.	5
Association Rule Mining  report	"Write about Association Rule Mining (ARM) algorithms, their inability to mine numerical data without first converting them into categorical ones. Discuss its issue and critically review at least two important research articles. Identify a publicly available dataset for ARM. Evaluate and explain the chosen dataset.
Construct an ARM model by applying an appropriate ARM node. ( Required to know IBM SPSS Modeler)"	5
psychology of business decisions resumee	"Consider how gender equality in the workplace can increase productivity. Include
the socio-psychological aspects of gender issues in the workplace and its
consequences."	5
Data Centre Analysis	A financial research analysis about SEA data centre industry (Singapore, Hong Kong, Indonesia, Thailand), case study for (GDS, STT GDC, peer comparison of Citic Telcom & China Mobile for data center sector) , 1500 - 3000 words in English 	5
Organizational Structure	I need someone to adjust the companies job descriptions and organizational structure	1
I would like to hire a Resume Writer	"Information technology domain 
Sales & Pre Sales manager"	1
